ID,Up/Co,Sex,Friend,Source,Country,Age,Occupation,Marriage,Post_Type,Time
N-31,Both,M,A,Church,USA,32,Reseacher,S,Life,7/16/2021
N-31,Co,M,A,Church,USA,32,Reseacher,S,Opinion,3/16/2020
N-31,Up,M,A,Church,USA,32,Reseacher,S,Life,10/26/2019
N-31,Co,M,A,Church,USA,32,Reseacher,S,Opinion,7/3/2020
N-31,Co,M,A,Church,USA,32,Reseacher,S,Opinion,7/20/2020
N-31,Up,M,A,Church,USA,32,Reseacher,S,Life,12/1/2020
N-166,Up,M,N,Alumni,China,35,Professor,M,Life,5/10/2020
N-50,Up,M,A,Alumni,USA,35,Engineer,M,Life,12/7/2019
N-50,Up,M,A,Alumni,USA,35,Engineer,M,Life,7/16/2021
N-50,Up,M,A,Alumni,USA,35,Engineer,M,Life,10/26/2019
N-50,Up,M,A,Alumni,USA,35,Engineer,M,Life,7/1/2021
N-50,Up,M,A,Alumni,USA,35,Engineer,M,Life,12/1/2020
N-165,Up,M,N,Church,China,30,NA,M,Life,5/10/2020
N-173,Up,F,A,Church,USA,50,Manager,M,Church,4/25/2020
N-108,Up,M,N,Church,USA,60,NA,M,Life,10/31/2020
N-172,Up,M,Y,Alumni,China,32,Manager,M,Life,12/7/2019
N-172,Up,M,Y,Alumni,China,32,Manager,M,Life,5/10/2020
N-114,Up,M,N,Other,China,NA,Professor,M,Work,10/26/2020
N-114,Co,M,N,Other,China,NA,Professor,M,Church,10/12/2020
N-114,Up,M,N,Other,China,NA,Professor,M,Life,7/1/2021
N-114,Up,M,N,Other,China,NA,Professor,M,Opinion,3/16/2020
N-212,Up,M,A,Alumni,USA,33,Professor,M,Life,12/7/2019
N-237,Up,M,A,Alumni,USA,33,Reseacher,S,Life,7/1/2021
N-7,Up,M,Y,Friend,USA,30,Reseacher,S,Opinion,8/11/2020
N-7,Up,M,Y,Friend,USA,30,Reseacher,S,Life,7/1/2021
N-7,Co,M,Y,Friend,USA,30,Reseacher,S,Church,10/12/2020
N-7,Up,M,Y,Friend,USA,30,Reseacher,S,Life,12/7/2019
N-7,Up,M,Y,Friend,USA,30,Reseacher,S,Life,10/26/2019
N-7,Up,M,Y,Friend,USA,30,Reseacher,S,Life,2/28/2021
N-7,Up,M,Y,Friend,USA,30,Reseacher,S,Life,7/21/2021
N-7,Up,M,Y,Friend,USA,30,Reseacher,S,Life,12/1/2020
N-7,Up,M,Y,Friend,USA,30,Reseacher,S,Life,5/10/2020
N-7,Co,M,Y,Friend,USA,30,Reseacher,S,Life,10/31/2020
N-7,Up,M,Y,Friend,USA,30,Reseacher,S,Life,6/9/2020
N-191,Co,F,N,Other,China,40,Doctor,M,Life,3/6/2020
N-161,Up,M,N,Alumni,USA,40,Reseacher,S,Life,5/10/2020
N-220,Up,M,A,Church,USA,40,NA,M,Opinion,11/24/2019
N-110,Co,F,A,Alumni,China,33,NA,M,Life,3/6/2020
N-110,Co,F,A,Alumni,China,33,NA,M,Life,10/31/2020
N-110,Co,F,A,Alumni,China,33,NA,M,Life,10/26/2019
N-227,Up,M,N,Alumni,USA,33,NA,NA,Life,10/26/2019
N-155,Up,M,A,Alumni,China,28,NA,S,Life,5/10/2020
N-155,Co,M,A,Alumni,China,28,NA,S,Life,6/9/2020
N-208,Up,F,Y,Family,China,40,Professor,M,Life,12/7/2019
N-208,Up,F,Y,Family,China,40,Professor,M,Life,7/21/2021
N-11,Up,M,A,Church,USA,25,Finance,R,Life,7/1/2021
N-11,Up,M,A,Church,USA,25,Finance,R,Life,2/28/2021
N-233,Up,M,N,Alumni,USA,35,Reseacher,NA,Life,7/1/2021
N-94,Up,M,A,Alumni,China,33,NA,M,Life,10/26/2019
N-94,Up,M,A,Alumni,China,33,NA,M,Life,10/31/2020
N-94,Up,M,A,Alumni,China,33,NA,M,Life,6/9/2020
N-94,Up,M,A,Alumni,China,33,NA,M,Life,7/1/2021
N-94,Up,M,A,Alumni,China,33,NA,M,Life,12/7/2019
N-202,Up,M,N,Alumni,USA,30,NA,NA,Life,12/7/2019
N-200,Up,M,A,Alumni,China,35,Engineer,NA,Life,12/7/2019
N-27,Both,F,A,Church,USA,32,Finance,M,Church,10/12/2020
N-27,Up,F,A,Church,USA,32,Finance,M,Life,12/7/2019
N-27,Up,F,A,Church,USA,32,Finance,M,Life,10/26/2019
N-27,Co,F,A,Church,USA,32,Finance,M,Life,10/31/2020
N-27,Up,F,A,Church,USA,32,Finance,M,Life,7/1/2021
N-27,Up,F,A,Church,USA,32,Finance,M,Life,12/1/2020
N-27,Up,F,A,Church,USA,32,Finance,M,Opinion,8/11/2020
N-27,Up,F,A,Church,USA,32,Finance,M,Church,4/25/2020
N-27,Both,F,A,Church,USA,32,Finance,M,Life,6/9/2020
N-27,Up,F,A,Church,USA,32,Finance,M,Life,5/10/2020
N-193,Up,M,A,Other,China,60,NA,M,Church,2/27/2020
N-6,Up,M,Y,Church,USA,60,Engineer,M,Life,10/31/2020
N-6,Up,M,Y,Church,USA,60,Engineer,M,Life,12/7/2019
N-6,Up,M,Y,Church,USA,60,Engineer,M,Life,2/28/2021
N-6,Up,M,Y,Church,USA,60,Engineer,M,Life,12/1/2020
N-6,Up,M,Y,Church,USA,60,Engineer,M,Life,5/10/2020
N-6,Up,M,Y,Church,USA,60,Engineer,M,Life,7/21/2021
N-6,Up,M,Y,Church,USA,60,Engineer,M,Life,7/16/2021
N-6,Up,M,Y,Church,USA,60,Engineer,M,Life,7/1/2021
N-89,Up,M,A,Church,China,35,NA,M,Life,5/10/2020
N-89,Both,M,A,Church,China,35,NA,M,Life,10/31/2020
N-89,Up,M,A,Church,China,35,NA,M,Life,7/16/2021
N-171,Up,M,A,Alumni,USA,32,Engineer,S,Life,5/10/2020
N-188,Up,M,N,Church,China,40,Manager,M,Life,7/16/2021
N-188,Co,M,N,Church,China,40,Manager,M,Opinion,3/16/2020
N-36,Up,F,A,Alumni,USA,35,Engineer,M,Life,10/31/2020
N-36,Up,F,A,Alumni,USA,35,Engineer,M,Life,7/16/2021
N-36,Up,F,A,Alumni,USA,35,Engineer,M,Life,12/7/2019
N-36,Co,F,A,Alumni,USA,35,Engineer,M,Life,10/26/2019
N-36,Up,F,A,Alumni,USA,35,Engineer,M,Life,12/1/2020
N-36,Up,F,A,Alumni,USA,35,Engineer,M,Life,7/21/2021
N-234,Up,M,A,Church,China,25,Musician,NA,Life,7/16/2021
N-234,Up,M,A,Church,China,25,Musician,NA,Life,7/1/2021
N-225,Up,F,N,Alumni,USA,30,Student,NA,Life,10/26/2019
N-245,Up,M,A,Church,USA,23,Accountant,R,Life,7/16/2021
N-192,Up,M,A,Church,China,35,Servant,M,Church,2/27/2020
N-196,Up,F,N,Church,USA,40,NA,NA,Life,7/16/2021
N-196,Up,F,N,Church,USA,40,NA,NA,Church,2/27/2020
N-43,Up,M,N,Church,China,40,NA,M,Life,12/1/2020
N-45,Up,F,A,Church,China,60,Self-employ,M,Church,10/12/2020
N-45,Up,F,A,Church,China,60,Self-employ,M,Life,12/1/2020
N-45,Up,F,A,Church,China,60,Self-employ,M,Life,10/31/2020
N-45,Up,F,A,Church,China,60,Self-employ,M,Life,12/7/2019
N-39,Up,M,A,Church,USA,40,Doctor,M,Life,12/1/2020
N-39,Up,M,A,Church,USA,40,Doctor,M,Life,10/31/2020
N-217,Up,F,A,Church,China,33,Professor,S,Life,12/7/2019
N-148,Up,M,N,Church,China,30,NA,M,Life,6/9/2020
N-144,Up,M,A,Alumni,China,28,Engineer,S,Life,6/9/2020
N-158,Up,F,A,Church,USA,30,Doctor,M,Life,5/10/2020
N-88,Up,M,A,Alumni,China,33,Professor,M,Life,7/1/2021
N-88,Up,M,A,Alumni,China,33,Professor,M,Work,10/26/2020
N-88,Up,M,A,Alumni,China,33,Professor,M,Life,10/31/2020
N-231,Up,M,A,Other,China,27,Programmer,S,Life,7/1/2021
N-139,Up,M,A,Other,China,32,Finance,S,Life,7/16/2021
N-139,Up,M,A,Other,China,32,Finance,S,Church,7/12/2020
N-139,Up,M,A,Other,China,32,Finance,S,Church,7/12/2020
N-71,Both,F,N,Church,USA,55,Data Scientist,M,Life,10/31/2020
N-71,Up,F,N,Church,USA,55,Data Scientist,M,Life,5/10/2020
N-71,Up,F,N,Church,USA,55,Data Scientist,M,Life,7/16/2021
N-143,Up,M,N,Alumni,China,30,Finance,R,Life,6/9/2020
N-222,Up,F,N,Alumni,China,35,Professor,S,Life,10/26/2019
N-116,Up,F,A,Alumni,China,28,NA,S,Work,10/26/2020
N-116,Up,F,A,Alumni,China,28,NA,S,Life,10/26/2019
N-115,Co,F,A,Alumni,China,33,Accountant,M,Life,10/26/2019
N-115,Up,F,A,Alumni,China,33,Accountant,M,Work,10/26/2020
N-115,Up,F,A,Alumni,China,33,Accountant,M,Church,4/25/2020
N-9,Up,M,Y,Friend,USA,30,Student,R,Life,5/10/2020
N-9,Up,M,Y,Friend,USA,30,Student,R,Life,7/16/2021
N-9,Up,M,Y,Friend,USA,30,Student,R,Life,6/9/2020
N-9,Up,M,Y,Friend,USA,30,Student,R,Life,10/31/2020
N-9,Up,M,Y,Friend,USA,30,Student,R,Church,7/12/2020
